,state,city,site,site_name,year,pm25,pm10,so2,co,no2,ozone
37,Delhi,Delhi,site_5024,"Alipur, Delhi - DPCC",2018,,,,,,
38,Delhi,Delhi,site_5393,"Chandni Chowk, Delhi - IITM",2018,,,,,,
39,Delhi,Delhi,site_5395,"Lodhi Road, Delhi - IITM",2018,,,,,,
0,Delhi,Delhi,site_103,"CRRI Mathura Road, Delhi - IMD",2019,103.0562364781771,211.5028602864696,,1.6355604278527132,51.2201184673033,30.914386423681147
1,Delhi,Delhi,site_103,"CRRI Mathura Road, Delhi - IMD",2020,92.3535182249169,196.47273304442706,,1.5593191086646028,37.31859439098508,18.058962895375206
2,Delhi,Delhi,site_104,"Burari Crossing, Delhi - IMD",2019,,172.92400949174686,,,36.69299280627052,40.392951320721956
3,Delhi,Delhi,site_104,"Burari Crossing, Delhi - IMD",2020,,,,,,
4,Delhi,Delhi,site_105,"North Campus, DU, Delhi - IMD",2019,107.8989213816121,221.85685102814546,,2.1878904471652296,21.44286186275025,29.781353508602958
5,Delhi,Delhi,site_105,"North Campus, DU, Delhi - IMD",2020,89.79109741543846,173.32271959360392,,1.6187054166780535,34.78331614737249,22.857866523408738
6,Delhi,Delhi,site_106,"IGI Airport (T3), Delhi - IMD",2019,94.27016281034278,204.04180427497246,,1.6143469699357595,46.11888927188038,21.67125683570702
7,Delhi,Delhi,site_106,"IGI Airport (T3), Delhi - IMD",2020,80.36560990637416,162.05977164784008,,1.1471136309118521,47.234284206976305,22.71496424037688
8,Delhi,Delhi,site_107,"Pusa, Delhi - IMD",2019,82.14126891896242,158.71572141532153,,1.23293685077784,29.21916852842264,29.481684008590324
9,Delhi,Delhi,site_107,"Pusa, Delhi - IMD",2020,81.72695887908066,148.36457082715737,,,32.960261247827525,28.45880025629939
10,Delhi,Delhi,site_108,"Aya Nagar, Delhi - IMD",2019,82.60987793245718,165.66895116225356,,,23.895540158984005,39.79435006169337
11,Delhi,Delhi,site_108,"Aya Nagar, Delhi - IMD",2020,76.65449517934147,136.86015984871625,,1.3134916670588577,18.298667627317414,26.91403823094028
12,Delhi,Delhi,site_109,"Lodhi Road, Delhi - IMD",2019,85.77829257991021,164.29372774070842,,,15.732180674655517,29.26157223289556
13,Delhi,Delhi,site_109,"Lodhi Road, Delhi - IMD",2020,74.80700456415273,140.65603788750187,,,16.44812542087298,27.069631076632938
14,Delhi,Delhi,site_113,"Shadipur, Delhi - CPCB",2019,118.03561998512173,,10.878389013916989,1.304339072549621,61.443743808682065,28.76524174655935
15,Delhi,Delhi,site_113,"Shadipur, Delhi - CPCB",2020,70.40589819464992,,9.92790915221119,1.1729295707720226,56.00546249991117,29.333146379758954
16,Delhi,Delhi,site_114,"IHBAS, Dilshad Garden, Delhi - CPCB",2019,116.46650994384004,,14.169379114884716,0.937666091335018,43.9711889033647,
17,Delhi,Delhi,site_114,"IHBAS, Dilshad Garden, Delhi - CPCB",2020,82.7046803495112,,12.380388800448952,1.0490377692394435,48.78057008535331,
